Text	Label	Label ID
I had an implicit agreement with my sister about meeting her, á however she had not understood the situation the same way so she á did not turn up.	anger	3
I went to a party and there were some cakes which weren't good á and had a bad smell.	disgust	5
Caused a family disturbance.	sadness	4
When my elder sister had a baby girl.  She was the first girl in á the family after 19 years of baby boys.	joy	1
Not being a good host for a friend from a far away place.	guilt	7
I had to leave Den Helder and all friends and acquaintences, á after having spend two weeks there with my friends.	sadness	4
When I was pressing figures on the curtain cloth. I had bought á the cloth after months of hindrances.	joy	1
When I first came to the campus.	joy	1
When I was the South Koreans on the TV.	disgust	5
When I tried to steal a book from the bookshop and was caught.	shame	6
I thought that I could have avoided the above situation (the one á in fear) if I had concentrated more on my work, which I hate.	guilt	7
I came across a blind man sitting in one of the corridors and á asking for money, though I had some money I did not give him á anything.	guilt	7
With self at losing an important game that I should have won.	anger	3
I threw away an object, which belonged to a friend, because I did á not know what to do with it. My friend was very sad about that á and I felt guilty.	guilt	7
When my gradmother died.  I felt very sad then ... The feeling á started to be worse after a while.	sadness	4
When we were going to Nkhoma last Saturday the vehicle was moving á very fast, so I feared we might crash since the road was too á rough.	fear	2
When I imitated a teacher behind his back - walking very silly.	shame	6
A film on zombies.	fear	2
I am disgusted with liers, hypocrites, slanderers, flunkeys.	disgust	5
My parents scolded me a lot for something I had not done.  It was á my sister who had done it.	anger	3
I felt angry when I failed in an exam about which I knew quite a á few things and I did not deserve to be plucked.	anger	3
Once I offended a friend, instead of her coming to me to ask and á discuss the matter she was just telling other people about it and á say all she could about me.	disgust	5
I felt it when I sat for my exam in anatomy.	fear	2
I feel this feeling when I am to fill in a questionnaire or a á form.	anger	3
Once again my parents distroyed a relationship.	anger	3
I had been watching a triller a dark night in the country and I á had to go the outside toilet on my own.	fear	2
My girlfriend gave me the mitten (left me).	sadness	4
I found I was pregnant and unmarried.	shame	6
I was very happy when I passed and went to form I.  It was a á great relief for me as I had been very worried considering the á large number of pupils who fail.	joy	1
When a friend told me a story and I stayed dumb because I had no á story to tell.	shame	6
I overturned in a canoe a few years back and I didn't know how to á swim. Although I had a life-jacket on I still panicked.	fear	2
After a difficult exam. When I had not hoped to take it and had á got a high mark. When you present someone with something and he á feels glad.	joy	1
When I found out that the guy I was dating at a particular time á had a steady relationship going on with someone else for a long á time.	anger	3
When I was admitted to the University.	joy	1
When I heard that I was not to be provided with another pair of á medical uniform.	anger	3
Once my father slapped my mother for a small quarrel.	anger	3
I was worried by a task related to my studies which had to be á done in groups of two.  I was talking about it to my friends when á I said something negative, in too abrupt a manner, concerning my á work partner.  I did not quite mean what I said and I felt á ashamed at having been mean enough to criticize him as he is also á a friend of mine.	shame	6
While taking a short cut through the Vasa park, I was surrounded á by three people who tried to steal my money.  I was scared and á was saved only by the appearance of other people.	fear	2
When I went to town in a double dekker bus.  The bus was about to á fall on the way when the driver controlled it.  It had almost á fallen.	fear	2
Saw on TV China not winning more gold medals in the Asian á Olympics.	shame	6
When I promise to do something but I don't fulfill it.	shame	6
It was the time when I was in no position to secure a Ist class á in the M.Sc exam and this was likely to affect my career.	fear	2
I had asked the Salvation Army to take away a piece of furniture á of mine, but I forgot to cancel the agreement (a friend of mine á took it) and I thereby caused the Salvation Army people some á unnecessary work.	guilt	7
My grandmother died over the summer. I knew her very well, she á baked great biscuits. She was in the hospital but expected to á improve and go home soon. She died in her sleep.	sadness	4
During the Christmas holidays, I went to see my parents and á stayed with them for two weeks. After two or three days, we had á the same conflicts we had had ten years before when I had lived á with them. They were glad when I left.	sadness	4
When I found my girl in bed with another man.	disgust	5
The first time that I had to go up on the stage to give a speech.	shame	6
I was very joyful when I heard that I had passed the standard 8 á exams. The day I heard the news was the day I celebrated my á birthday.	joy	1
When I miss the train and I am late, and I have to wait half an á hour for the next one.	anger	3
I have a girlfriend, who is almost like a daughter to me.  She is á studying out of station and I get to see her only once a year.  á Her arrival is always a joyous one.	joy	1
A close friend first said he accepted an agreement, but later á used that agreement as a reason for attacking me.	anger	3
When I was in a religious school my teacher showed me up in front á of all my class-mates.  They were very sarcastic and cruel.	shame	6
I was complaining about calling people whom I didn't know. I á forgot that the purpose is to invite people for dinner and get to á know them.	shame	6
After much trouble getting together in the first place my á boyfriend and I celebrated our first anniversary.	joy	1
It was the time when everybody spoke about and discussed á Hainburg. I was also asked for my opinion. I was ashamed because á I had no firm view of the whole thing and therefor was not able á to join the conversation.	shame	6
When I had achieved a goal indirectly. I work for CAL Football á and our 2nd win of the season was very gratifying and brought á our joy because of the hard work involved and the fact that no á one expected we would win.	joy	1
Right before I went to a concert with my last boyfriend he told á me that although he told me he was going to take me to the á concert, he didn't want to see me anymore. After that we stayed á overnight and I said \well, when he leaves me I will be ruined á	joy	1
I lost a close friend.	sadness	4
I was once this week angry when soemone trying to compress my á mind due to his nonsense speech which himself could not tolerate á at all.	anger	3
Students on campus were unnecessarily creating trouble just to á heckle the authorities - not to achieve something concrete, but á to further their own interest.	disgust	5
When I have seen people very drunk and making fools of á themselves.	disgust	5
When my brother was born, everything went all right.  It had been á very likely that he would have a deficiency (my sister suffers á from Down's Syndrome) and that my mother would be in danger.	joy	1
It was when we were beaten or lost the football match by 5-1 and á then I scored the third goal to my own side.	shame	6
When I was selected to start Form I at Malosa Secondary school.	joy	1
When I was younger I often saw my father come home drunk (he had á big problems at that time). Once he woke me up in the middle of á the night and shouted at me.	disgust	5
When I broke my leg I felt fear.	fear	2
Someone borrowed my textbook and deliberately did not return it.	anger	3
The same as in \shame\"."	guilt	7
Some colleagues decided to go out on a Saturday not inviting me á to decide either the place nor the time.	sadness	4
I had an accident in which I hurt my eye.  I was afraid of having á injured it badly.	fear	2
When my brother went to shoot wild ducks, I feared that the á boat would overturn and he would drown or that the gun would á accidentally go off.	fear	2
I worked together with another student on a computer-assignment. á She didn't do her best and didn't prepare herself for it. She á expected me to explain it to her.	anger	3
This feeling occurred to me when my colleague entered in G.V. á (University) and I didn't.	anger	3
When I felt I had let my parents down, especially my mother, by á having sexual intercourse for the first time, and a few times á after that. Also, when I went on the Pill.	guilt	7
I felt fear once, when the car in which I travelled directed á towards the precipice along the road.	fear	2
When the mother of a good friend of mine died.	sadness	4
[ No response.]	guilt	7
When my friends did not ask me to go to a New Year's party á with them.	sadness	4
I felt guilty when I failed to take an exam though I had had á enough time to read for it but I hadn't made use of it.	guilt	7
When two hyenas made crying noise on the window of my bedroom at á home when I was preparing for my MCE examination during the á night.	fear	2
A person misinterpreted what I had told her. I had told her that á I had failed to insert a NasoGastric tube but she went and á scolded the patient that she was being uncooperative.	guilt	7
When I go out with my friend with enough money and good sense to á our favorite dancing.	joy	1
The day I got married was the happiest day of my life.  Both of á us felt that we were right for each other in every way and we had á no doubts about our compatibility right from the day we got á engaged.	joy	1
When I could not complete my assignment on time.	guilt	7
I took my grandmother's money without telling her and when asked á if it was me who had taken the money, I denied it.	guilt	7
Finding that a girlfriend of mine was a prostitute and had been á seeing many others during our relationship.	disgust	5
I was disgusted by my paranoid attitude towards myself, my á homework at university and disgusted about my lack of retention. á Especially in learning another language.	disgust	5
One of my pupils escaped from school to the street.	guilt	7
My best friend could not get into university.	sadness	4
It was in a tramway-carriage: A stranger insulted a girl just á because she blew her nose. I detested his behaviour.	disgust	5
When my elder brother, who had gone abroad to study  for six á years, came back home safe and in good health.	joy	1
A woman picked her nose and spit right next to me.	disgust	5
I was ashamed with my biology lecturer when he asked me a á question and I could not answer it.	shame	6
When my mother betrayed me by obtaining money from my husband á when we were separated - pending divorce.	disgust	5
I like someone who does not like me and was rude to me.	sadness	4
I came home one day and discovered that my sister had borrowed my á car and had gotten into an accident with it. My entire front á bumper was destroyed.	anger	3
When my boy-friend left me and I wanted to persuade him to stay.	shame	6
I felt happy at the settlement of our marriage, even though we á are from different socio-linguistic backgrounds our parents á agreed to the wedding without any conflict or discussion.  We had  á thought that they would object to the wedding but it did not happen.	joy	1
Leaving home when my mother thought I had no reason to go and á felt that I was rejecting her. She is a constantly depressed á person (a bit of a worry-wort) and I felt guilty about having á given her this additonal problem.	guilt	7
Finding out that my grandfather had died. He lived in England and á I had not seen him for 10 years.	sadness	4
Having told a certain lie.	guilt	7
After having slept for a short time I woke up - I had the feeling á of someone standing beside me and was very frightened. I had to á turn on the light turn on the light for several minutes before I á was able to get to sleep again.	fear	2
I slipped and fell in to a puddle and people started looking at á me.	shame	6
This is difficult, since I don't remember feeling disgust towards á anyone.	disgust	5
[ When some people act very important in any situation.]	disgust	5
A too eager approach by a dirty drunken person in a bus.	disgust	5
A close friend of mine was leaving for graduate school out of á state. I had arranged to gather some people together the day á before he left to be with him and have a good time, but I didn't á pay as much attention to him as I should have.	guilt	7
When someone took my things without having asked for my á permission.	anger	3
When in a car accident where car was total wipe off (wipe out, or á write off).	fear	2
On my second plane trip, we ran into unexpected turbulence.	fear	2
My wrong behaviour made my loved one feel sad and uneasy.	guilt	7
When an argument with a friend of mine over our behaviour towards á another friend turned into a quarrel.   I lost my temper and nearly á knocked him out.	anger	3
At a discussion a friend took a \faschistic view\", what I had not á	disgust	5
[ No response.]	sadness	4
My first public appearance in front of a rathe big audience.	fear	2
Realizing one's desire, an experienced feeling of satisfaction á from the realization of one's desires and aims.	joy	1
I remember that when my mother died the day was sad and every á time I think of it I am saddened by the loss of my mother.	sadness	4
When I asked my girlfriend to marry me.	joy	1
[ Can not think of anything.]	guilt	7
Saw someone who picked up a cigarette from the floor and smoked á it.	disgust	5
I won the country ski championship.	joy	1
When I ate a rotten apple.	disgust	5
A theft committed by me.	shame	6
When I woke up at night to find a fire spreading towards the bed á -rooms.  I was very frightened as I realized that I faced death.	fear	2
I felt very ashamed at having got a book by force from a girl.	shame	6
When I was ill and had to stay at the hospital for a period of á time.	sadness	4
[ No response.]	sadness	4
When I was charmed by my relatives.	anger	3
When I understood that my marriage was falling apart, and we á decided to be legally separated.	sadness	4
When a certain girl I believed to be my life partner refused an á engagement.	shame	6
I spent a weekend in San Diego visiting my boyfriend Rob. We were á at the airport and my plane was just about so leave. After saying á goodbye, I boarded the plane. It was the hardest thing to do and á it was a sad trip home.	sadness	4
When I passed my final examination at school.	joy	1
Finding out China is backward in science.	shame	6
One of my relatives became seriously ill. I felt sad because I á didn't know if she will ever be the same again.	sadness	4
After I saw my family and good friends back after staying one á year in a foreign country.	joy	1
When my dog was stolen.	sadness	4
My parents thought that I didn't do my best to pass the final á examination (secondary school). When I achieved a good grade they á said nothing, but if I had had a bad grade they would have become á very angry.	anger	3
Bus driver driving roughly - old man fell off seat into aisle - á driver wouldn't stop - disgusted with her behaviour.	disgust	5
When I heard that I had passed Primary School Leaving Certificate á and was selected to go for Secondary education.	joy	1
[ No response.]	fear	2
[ No response.]	joy	1
I felt disgusted when I went to one of the Central hospitals á where my hope of getting good treatment was turned down by one of á the doctors who said I was alright despite my feeling pain.	disgust	5
[ Generally, when I am late in attending to matters (for example á paying bills).]	shame	6
My parents are divorced, father pays alimony for me. Two years á ago my sister who lives with father, suddenly asked mother for á money. As she considered the amount of money my mother offered á her too small, she brought an action against mother. I was á terribly angry with my sister.	anger	3
[ No response.]	shame	6
At home when they lost three pieces of my puzzle.	anger	3
When some of my close friends and colleagues talk about me and á my work and say that I am the brightest student of the college.	shame	6
After being depressed because of a very bad relationship, my á first love called me and told me that he would always care for me á no matter what I did.	joy	1
[ Meeting some new (unpleasant) people or some new, demanding á situation.]	fear	2
When I was younger I was very good in apparatus gymnastics. I á always won in competitions, but once I was only at the fourth á place.	sadness	4
When bathing at surf beach & lost togs.	shame	6
One saturday night I did some meaningless work and went to bed á very late.  Next morning I had was very sleepy so I continued á sleeping even though I had work to do and I missed the Sunday á service.	guilt	7
When close relatives tried to dissuade me from studying á Psychology because of its low status.	anger	3
Together with a little brother I biked on a lonely road in the á Polder. Then we were annoyed by a boy on a motorbike: he á took over, stopped, took over, etc. Then we saw he had something á in his hand, we turned until we came across a man, who á accompanied us.	fear	2
Damaged the tap in the residental Hall.	fear	2
A girl dropped some stuff from her bag and when I tried to help á her I realized that she had used me and I was made to look like a á fool.	guilt	7
When my car froze, and I could not start it.	sadness	4
I didn't give back in time some money that I had borrowed. My á friend relied on them.	guilt	7
In our class we had a test on Nursing, so a friend from the Army á was caught peeping, by using a paper which had already answers á which was written by him. So all of us from the Army got ashamed.	shame	6
In a social situation I became interested in a woman. We talked, á we laughed, we enjoyed each other. She desappeared for a few á minutes, and a little after appeared with an other man.	sadness	4
One day I was the leader of the weekly meeting of the Church á fellowship.  That day I had been preparing for the exams and did á not estimate the time to travel to the church right and I was á twenty minutes late.  As I had not prepared well I led the á meeting badly.  I was ashamed of myself.	shame	6
When I feel I must be with somebody, to talk with somebody - but á I am alone.	sadness	4
Two years ago I saw a film on the TV. Even now it makes me á afraid.	fear	2
I was angry about how the government acted concerning Hainburg, á especially when I saw a discussion about it on TV.	anger	3
When I was working as a nurse in a mental hospital, a patient ate á up the contents of another patient's spitoon.	disgust	5
After mischieviously ringing on the chemist's trade-entrance á doorbell and getting caught by him.	fear	2
As I usually do not start learning until a short time before an á examination,, I once made up my mind to try to work for a longer á time. But once again I did not do it - and got a bad mark.	anger	3
I was driving my car and it was very misty. It was in the night á and I was alone in my car. I felt totally insecure, nervous and á overstrained.	fear	2
Some time ago a close relative of mine got off cheap with the á worst.	joy	1
To loose friends because of them over-estimating themselves.	disgust	5
When I found out that my father had lung cancer and they did not á know how long he would live.	fear	2
When I became conscious that men don't wnat anything they don't á have a goal. They have: sex, but this isn't important.	sadness	4
Suddenly met someone in the biology building at night.	fear	2
I felt guilty at being part of the successful people. Felt guilty á at being a student when other people were not. Guilt about being á a potential success in various areas of society. (So stupid this á emotion)	guilt	7
Whenever my father smokes the smell makes me feel very á uncomfortable.  He never listens to my complaints and I curse him á furiously in my mind.  I cannot solve this problem by violence á because of traditional moral values.	anger	3
I had promised to send something to a friend and it completely á slipped my mind.  I felt guilty for having forgotten.	guilt	7
My little brother was arrested by the police at the railway station after á he had drunk some beer.	shame	6
When my father talks about our relatives and favours them, I feel á angry.	anger	3
I was in a garden one evening and I saw a snake coming towards á me.	fear	2
When I had an argument with my grandfather the day my younger á brother was born.	guilt	7
My boyfriend hinted over the phone about wanting to \be free\".  á	fear	2
I lost a conference because I hadn't got in touch with a certain á person to inform her that I would go with her. I thought she knew á what I wanted.	guilt	7
A member of a religious sect tried to convert me, using really á evil tricks to persuade me.  After he had left, I was anxious and á angry for a long time. After the event, I was alone.	anger	3
I watched the news at the TV, it was a commentary about á \Hainburg\". I felt disgusted when I heard members of the union á	disgust	5
I started a new branch of studies after having failed a former á one.  When I got back my exam papers I was very happy to know á that I almost had full marks.	joy	1
Dog dirt which thaws in the spring.	disgust	5
I had been in love with a certain young man who pretended to love á me but one day I found out that he had another girlfriend who was á also a friend of mine.	anger	3
A break-up with someone I really liked.	sadness	4
When my basket ball team lost the qualification at a final.	sadness	4
Not included on questionnaire.	fear	2
I was badly beaten up by one of my friends during a wedding á party.	anger	3
There was a cup final match between Limbe Leaf Wanderers and á Silver Strikers and someone promised to give me some money for á admission fee to watch this game. Unfortunately he did not give á me.	anger	3
On my birthday, when I was given my presents.	joy	1
When my parents complimented me very nicely on something.	joy	1
This situation occurred when I entered into a smelling ward.	disgust	5
I was walking from my friend's house, a few blocks from my house, when a á car began to follow me. He waited I passed by it rotateed a little and á stopped on my way. I changed completely my way and the car went á on following me until I turned at a corner and running I hid in a á garden of a house, waiting for the car to pass by. I went back home á terribly afraid.	fear	2
When my brother-in-law's brother stole my clothes when my á brother-in-law and I had gone to cut wood for the fire.	anger	3
4-letter words on a TV programme (Roche) while we were á entertaining \conservative\" relations who wanted to see the first á	disgust	5
Attending to a demand made by a client (I work in a bank) I á suggested her an application of money in a week ahead, but I á informed her wrongly. The client arrived a week after and the á application wasn't made and she lost with this a lot of time and á money.	guilt	7
I had to undergo an operation in Summer and so my family had to á stay at home during the holidays.  I felt guilty, above all á because of my brothers.	guilt	7
When I get an exam back with a grade that I did not desire. Then á I get mad at myself and say that I could have done better.	shame	6
After an exam which I failed.	sadness	4
I was at the table at a French friend's house.  They served me a á big dish with roast cauliflower and sauce.  I had to eat it.	disgust	5
When given responsibility to grade papers in elementary school, I á cheated a little and graded my own higher.	shame	6
When my grandmother passed away.	sadness	4
Exchange of points of view with my sister on a family matter.	anger	3
Before an exam which I, finally did not take.	fear	2
I was not given a chance to explain to my close relatives as to á why I could not go to visit them when they were ill.  When I did á go, they thought that I had been selfish and irresponsible duringá their illness.	anger	3
A friend and a girlfriend went to Rome for 10 days with their á class. When they were back home I heard people tell \strange\" á	disgust	5
Helping in the nursery school.	joy	1
My boyfriend returned after a long absence.	joy	1
I saw a man who had had a heart-attack and who was being á treated for it.  I feared that my own father could have been á there.	fear	2
My favourite horse died. We had tried our best to save him, but á it was hopeless, he had to be shot.	sadness	4
When my father passed away in 1978.  I was left alone with my á mother who was very sick so I had to go and live with my aunt, who á is very short tempered, till my mother was discharged from the á hospital.	sadness	4
I took a math midterm and I knew I did really well and it was á Friday so I felt great joy because the week was over and I did á well on a test.	joy	1
Not thanking relatives for a favor done.	guilt	7
Fight with my mate after a quarrel.	guilt	7
I look up to my Karate-teacher. When I came to a training lesson á after I had not trained for one week, I was totally stiff. I was á ashamed.	shame	6
I was walking along the passage to my room (very near the anatomy á laboratory) and I heard something and felt that there was some á thing behind me.  I looked back and there was no one.  I started á imagining that maybe it was a corpse.	fear	2
